API,Provider,Service,Version,Description,LogoUrl
1Forge Finance APIs,1forge.com,,0.0.1,Stock and Forex Data and Realtime Quotes,https://api.apis.guru/v2/cache/logo/https_1forge.com_assets_images_f-blue.svg
Events API,1password.com,events,1.0.0,1Password Events API Specification.,https://api.apis.guru/v2/cache/logo/https_upload.wikimedia.org_wikipedia_commons_thumb_e_e3_1password-logo.svg_1280px-1password-logo.svg.png
1Password Connect,1password.local,connect,1.5.7,REST API interface for 1Password Connect.,https://api.apis.guru/v2/cache/logo/https_upload.wikimedia.org_wikipedia_commons_thumb_e_e3_1password-logo.svg_1280px-1password-logo.svg.png
Authentiq API,6-dot-authentiqio.appspot.com,,6,Strong authentication,https://api.apis.guru/v2/cache/logo/https_www.authentiq.com_theme_images_authentiq-logo-a-inverse.svg
Platform API,ably.io,platform,1.1.0,The [REST API specification](https://www.ably.io/documentation/rest-api) for Ably.,https://api.apis.guru/v2/cache/logo/https_twitter.com_ablyrealtime_profile_image
Control API v1,ably.net,control,1.0.14,Use the Control API to manage your applications,https://api.apis.guru/v2/cache/logo/https_twitter.com_ablyrealtime_profile_image
IP geolocation API,abstractapi.com,geolocation,1.0.0,Abstract IP geolocation API allows developers to retrieve the region,https://api.apis.guru/v2/cache/logo/https_global-uploads.webflow.com_5ebbd0a566a3996636e55959_5ec2ba29feeeb05d69160e7b_webclip.png
Adafruit IO REST API,adafruit.com,,2.0.0,### The Internet of Things for Everyone,https://api.apis.guru/v2/cache/logo/https_twitter.com_adafruit_profile_image.jpeg
Adobe Experience Manager (AEM) API,adobe.com,aem,3.7.1-pre.0,Swagger AEM is an OpenAPI specification for Adobe Experience Manager (AEM) API,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adobe_profile_image.jpeg
Account API,adyen.com,AccountService,3,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Account API,adyen.com,AccountService,4,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Account API,adyen.com,AccountService,5,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Account API,adyen.com,AccountService,6,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Balance Control API,adyen.com,BalanceControlService,1,The Balance Control API lets you transfer funds between merchant accounts that belong to the same legal entity and are under the same company account.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Configuration webhooks,adyen.com,BalancePlatformConfigurationNotification-v1,1,Adyen sends notifications through webhooks to inform your system about events that occur in your platform. These events include,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Payment webhooks (deprecated),adyen.com,BalancePlatformPaymentNotification-v1,1,The payment webhooks are deprecated. Use the [accounting webhooks](https://docs.adyen.com/api-explorer/transfer-webhooks/latest/overview) instead.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Report webhooks,adyen.com,BalancePlatformReportNotification-v1,1,Adyen sends notifications through webhooks to inform your system that reports were generated and are ready to be downloaded.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Configuration API,adyen.com,BalancePlatformService,1,The Configuration API enables you to create a platform where you can onboard your users as account holders and create balance accounts,https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Configuration API,adyen.com,BalancePlatformService,2,The Configuration API enables you to create a platform where you can onboard your users as account holders and create balance accounts,https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Transfer webhooks,adyen.com,BalancePlatformTransferNotification-v3,3,Adyen sends notifications through webhooks to inform your system about incoming and outgoing transfers in your platform.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen BinLookup API,adyen.com,BinLookupService,40,The BIN Lookup API provides endpoints for retrieving information,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen BinLookup API,adyen.com,BinLookupService,50,The BIN Lookup API provides endpoints for retrieving information,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen BinLookup API,adyen.com,BinLookupService,52,The BIN Lookup API provides endpoints for retrieving information,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen BinLookup API,adyen.com,BinLookupService,53,The BIN Lookup API provides endpoints for retrieving information,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen BinLookup API,adyen.com,BinLookupService,54,The BIN Lookup API provides endpoints for retrieving information,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Checkout API,adyen.com,CheckoutService,37,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,40,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,41,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,46,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,49,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,50,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,51,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,52,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,53,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,64,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,65,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,66,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,67,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,68,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,69,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout API,adyen.com,CheckoutService,70,Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure),https://api.apis.guru/v2/cache/logo/https_adyen.com_.resources_adyen-website_themes_images_apple-icon-180x180.png
Adyen Checkout Utility Service,adyen.com,CheckoutUtilityService,1,A web service containing utility functions available for merchants integrating with Checkout APIs.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image.jpeg
Adyen Data Protection API,adyen.com,DataProtectionService,1,Adyen Data Protection API provides a way for you to process [Subject Erasure Requests](https://gdpr-info.eu/art-17-gdpr/) as mandated in GDPR.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Fund API,adyen.com,FundService,3,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Fund API,adyen.com,FundService,5,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Fund API,adyen.com,FundService,6,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Hosted onboarding API,adyen.com,HopService,1,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Hosted onboarding API,adyen.com,HopService,5,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Hosted onboarding API,adyen.com,HopService,6,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Legal Entity Management API,adyen.com,LegalEntityService,1,The Legal Entity Management API enables you to manage legal entities that contain information required for verification. ,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Legal Entity Management API,adyen.com,LegalEntityService,2,The Legal Entity Management API enables you to manage legal entities that contain information required for verification. ,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Legal Entity Management API,adyen.com,LegalEntityService,3,The Legal Entity Management API enables you to manage legal entities that contain information required for verification. ,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Management Webhooks,adyen.com,ManagementNotificationService-v1,1,Adyen uses webhooks to inform your system about events that happen with your Adyen company and merchant accounts,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Management API,adyen.com,ManagementService,1,Configure and manage your Adyen company and merchant accounts,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Classic Platforms - Notifications,adyen.com,MarketPayNotificationService,3,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image.jpeg
Classic Platforms - Notifications,adyen.com,MarketPayNotificationService,4,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image.jpeg
Classic Platforms - Notifications,adyen.com,MarketPayNotificationService,5,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image.jpeg
Classic Platforms - Notifications,adyen.com,MarketPayNotificationService,6,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Notification Configuration API,adyen.com,NotificationConfigurationService,1,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Notification Configuration API,adyen.com,NotificationConfigurationService,2,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Notification Configuration API,adyen.com,NotificationConfigurationService,3,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Notification Configuration API,adyen.com,NotificationConfigurationService,4,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Notification Configuration API,adyen.com,NotificationConfigurationService,5,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Notification Configuration API,adyen.com,NotificationConfigurationService,6,This API is used for the classic integration. If you are just starting your implementation,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,25,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,30,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,40,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,46,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,49,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,50,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,51,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,52,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,64,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,67,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payment API,adyen.com,PaymentService,68,A set of API endpoints that allow you to initiate,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payout API,adyen.com,PayoutService,30,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payout API,adyen.com,PayoutService,40,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payout API,adyen.com,PayoutService,46,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image.jpeg
Adyen Payout API,adyen.com,PayoutService,49,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image.jpeg
Adyen Payout API,adyen.com,PayoutService,50,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payout API,adyen.com,PayoutService,51,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payout API,adyen.com,PayoutService,52,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payout API,adyen.com,PayoutService,64,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payout API,adyen.com,PayoutService,67,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Payout API,adyen.com,PayoutService,68,A set of API endpoints that allow you to store payout details,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Recurring Service,adyen.com,RecurringService,18,Additional methods that allow you to manage payment details stored for recurring payments. For more information,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image.jpeg
Adyen Recurring API,adyen.com,RecurringService,25,The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created with validation during a payment request.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Recurring API,adyen.com,RecurringService,30,The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created with validation during a payment request.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Recurring API,adyen.com,RecurringService,40,The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created with validation during a payment request.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Recurring API,adyen.com,RecurringService,49,The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created with validation during a payment request.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Recurring API,adyen.com,RecurringService,67,The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created with validation during a payment request.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Recurring API,adyen.com,RecurringService,68,The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created with validation during a payment request.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Stored Value API,adyen.com,StoredValueService,46,A set of API endpoints to manage stored value products.,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Adyen Test Cards API,adyen.com,TestCardService,1,The Test Cards API provides endpoints for generating custom test card numbers. For more information,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
POS Terminal Management API,adyen.com,TfmAPIService,1,This API provides endpoints for managing your point-of-sale (POS) payment terminals. You can use the API to obtain information about a specific terminal,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Transfers API,adyen.com,TransferService,1,The Transfers API provides endpoints that you can use to get information about all your transactions,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Transfers API,adyen.com,TransferService,2,The Transfers API provides endpoints that you can use to get information about all your transactions,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Transfers API,adyen.com,TransferService,3,The Transfers API provides endpoints that you can use to get information about all your transactions,https://api.apis.guru/v2/cache/logo/https_twitter.com_Adyen_profile_image
Afterbanks API,afterbanks.com,,3.0.0,La estandarización de la conexión con cualquier banco en tiempo real.,https://api.apis.guru/v2/cache/logo/https_twitter.com_AfterbanksAPI_profile_image.jpeg
AGCO API,agco-ats.com,,v1,,https://api.apis.guru/v2/cache/logo/https_twitter.com_AGCOcorp_profile_image.jpeg
AIception Interactive,aiception.com,,1.0.0,Here you can play & test & prototype all the endpoints using just your browser! Go ahead!,https://api.apis.guru/v2/cache/logo/https_twitter.com_AIception_profile_image.jpeg
Airbyte Configuration API,airbyte.local,config,1.0.0,Airbyte Configuration API,https://api.apis.guru/v2/cache/logo/https_apis.guru_assets_images_no-logo.svg
airportsapi,airport-web.appspot.com,,v1,Get name and website-URL for airports by ICAO code. Covered airports are mostly in Germany.,https://api.apis.guru/v2/cache/logo/https_user-images.githubusercontent.com_21603_37955263-098e5b38-31a0-11e8-96fd-5755b16341e3.png
Akeneo PIM REST API,akeneo.com,,1.0.0,,https://api.apis.guru/v2/cache/logo/https_twitter.com_akeneopim_profile_image.jpeg
Alerter System API,alertersystem.com,,1.6.0,<p>This is the <a href="/">Alerter System</a> API playground. More documentation is available at the <a href="/help/developers/">API Help Center</a>.</p><p>The "Available Authorizations" in the Authorize popup only applies to this playground web interface. Other <a href="/help/developers/authorization/">authorizations</a> are available for the actual API.</p>,https://api.apis.guru/v2/cache/logo/https_alertersystem.com_build_images_apple-touch-icon.a3295fc1.png
Flight Offers Search,amadeus.com,,2.2.0,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Airline Code Lookup API,amadeus.com,amadeus-airline-code-lookup,1.1.1,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Airport & City Search,amadeus.com,amadeus-airport-&-city-search,1.2.3,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Airport Nearest Relevant,amadeus.com,amadeus-airport-nearest-relevant,1.1.2,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Airport On-Time Performance,amadeus.com,amadeus-airport-on-time-performance,1.0.4,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Branded Fares Upsell,amadeus.com,amadeus-branded-fares-upsell,1.0.1,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Availibilities Search,amadeus.com,amadeus-flight-availabilities-search,1.0.2,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Busiest Traveling Period,amadeus.com,amadeus-flight-busiest-traveling-period,1.0.2,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Cheapest Date Search,amadeus.com,amadeus-flight-cheapest-date-search,1.0.6,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Check-in Links,amadeus.com,amadeus-flight-check-in-links,2.1.2,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Choice Prediction,amadeus.com,amadeus-flight-choice-prediction,2.0.2,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Create Orders,amadeus.com,amadeus-flight-create-orders,1.9.0,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Delay Prediction,amadeus.com,amadeus-flight-delay-prediction,1.0.6,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Inspiration Search,amadeus.com,amadeus-flight-inspiration-search,1.0.6,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Most Booked Destinations,amadeus.com,amadeus-flight-most-booked-destinations,1.1.1,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Most Traveled Destinations,amadeus.com,amadeus-flight-most-traveled-destinations,1.1.1,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Offers Price,amadeus.com,amadeus-flight-offers-price,1.2.2,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Order Management,amadeus.com,amadeus-flight-order-management,1.9.0,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Flight Price Analysis API,amadeus.com,amadeus-flight-price-analysis,1.0.1,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Hotel Booking,amadeus.com,amadeus-hotel-booking,1.1.3,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Hotel Name Autocomplete,amadeus.com,amadeus-hotel-name-autocomplete,1.0.3,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Hotel Ratings,amadeus.com,amadeus-hotel-ratings,1.0.2,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Hotel Search API,amadeus.com,amadeus-hotel-search,3.0.8,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Location Score,amadeus.com,amadeus-location-score,1.0.2,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
On-Demand Flight Status,amadeus.com,amadeus-on-demand-flight-status,2.0.2,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Points of Interest,amadeus.com,amadeus-points-of-interest,1.1.1,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Safe Place,amadeus.com,amadeus-safe-place-,1.0.0,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Seatmap Display,amadeus.com,amadeus-seatmap-display,1.9.2,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Tours and Activities,amadeus.com,amadeus-tours-and-activities,1.0.2,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Travel Recommendations API,amadeus.com,amadeus-travel-recommendations,1.0.3,Before using this API,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Trip Parser,amadeus.com,amadeus-trip-parser,3.0.1,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
Trip Purpose Prediction,amadeus.com,amadeus-trip-purpose-prediction,1.1.4,,https://api.apis.guru/v2/cache/logo/https_amadeus.com_images_en_technology_mobile-tablet_mobile-woman-office-city.jpg.transform_medium_img.jpg
AWS Migration Hub,amazonaws.com,AWSMigrationHub,2017-05-31,<p>The AWS Migration Hub API methods help to obtain server and application migration status and integrate your resource-specific migration tool by providing a programmatic interface to Migration Hub.</p> <p>Remember that you must set your AWS Migration Hub home region before you call any of these APIs,https://api.apis.guru/v2/cache/logo/https_twitter.com_awscloud_profile_image.png
