id,info_title,info_description,info_termsOfService,info_contact_name,info_contact_url,info_contact_email,info_license_name,info_license_url,info_x-website,info_x-logo_url,info_x-logo_background,info_x-apiClientRegistration_url,info_x-pricing_type,info_x-pricing_url,externalDocs_description,externalDocs_url
audiosear.ch,Audiosear.ch API,"The Audiosear.ch API requires OAuth, which you can manage at <a href='/oauth/applications'>OAuth Applications</a>.<br/>API SDK clients available in <a href='https://github.com/popuparchive/audiosearch-client-python' target='_blank'>Python</a>, <a href='https://github.com/popuparchive/audiosearch-client-ruby' target='_blank'>Ruby</a>, <a href='https://github.com/popuparchive/audiosearch-client-php' target='_blank'>PHP</a>, and <a href='https://github.com/popuparchive/audiosearch-client-node' target='_blank'>Node</a>.<br/>Read the <a href='https://github.com/popuparchive/audiosearch-cookbook/wiki'>API Cookbook</a> for easy copy-and-paste recipes.",https://www.auidosear.ch/terms_of_use,Audiosear.ch,,info@audiosear.ch,,,,,,,,,,
backupify.com,Backupify,"The Backupify API allows you to integrate the leading SaaS backup solution into your software, making it easy to give your customers the data protection they need. ",,,,,,,,https://www.backupify.com/sites/all/themes/backupify/images/Datto_BFY_RGB_2.png,,,,,,
beanstream.com,Beanstream Payments API,https://www.beanstream.com/api/v1,,,,,,,,http://46k5aj426sp830ztvffig15w.wpengine.netdna-cdn.com/wp-content/uploads/2015/08/Beanstream-logo.png,,,,,,
bikewise.org,BikeWise API v2,"<p>This is an API for accessing information about bicycling related incidents. You can find the source code on <a href=""https://github.com/bikeindex/bikewise"">GitHub</a>.</p>
",,,,support@bikeindex.org,,,,,,,,,,
blackberry.com,BlackBerry IoT Platform REST API,,,,,,,,,,,,,,,
cambase.io,Cambase.io,"Cambase.io is a project by Evercam.io in order to make it easier for software developers to have a reliable, up to date source of model hardware information available via a public API.",,,,,,,,http://cdn.cambase.io/assets/logo-f1bffbb8eea6139bc4acfec3b9f2f91b.jpg,,,,,,
citrixonline.com:gotoassistseeit,GoToAssist Seeit API,<p>Allows you to integrate GoToAssist Seeit into your own solutions.</p>,,,,,,,,https://developer.citrixonline.com/sites/all/themes/citrix_responsive/logo.png,,,,,,https://developer.citrixonline.com/
citrixonline.com:gotomeeting,GoToMeeting REST API,"<br />The Citrix GoToMeeting API provides seamless integration of GoToMeeting provisioning and meeting management into your existing infrastructure or third party applications.<br /><br />For customers, the ability to add, suspend or delete an organizer in your GoToMeeting Corporate account from within your primary management systems simplifies and streamlines the entire process of account management. The ability to monitor meeting schedules, history and active meeting status allows managers to leverage GoToMeeting activities through your primary applications.<br /><br />For third parties, the ability to create, update or delete a meeting from within your application makes real-time collaboration possible for your customers. The ability to update meeting schedules, view history and scheduled meetings, and view attendees from past meetings allows you to enhance your users' experience and the value of your applications.",https://developer.citrixonline.com/terms-use,Developer Support,https://developer.citrixonline.com,developer-support@citrixonline.com,,,,https://developer.citrixonline.com/sites/all/themes/citrix_responsive/logo.png,,,,,,https://developer.citrixonline.com/
citrixonline.com:gototraining,GoToTraining REST API,"The Citrix GoToTraining API enables developers to use the stable and robust GoToTraining functionality as the basis for online trainings in a proprietary learning management system. The GoToTraining APIs provide the ability to access the scheduling, registration, management, and reporting functions of GoToTraining from external applications. With the ability to tightly integrate GoToTraining into your learning infrastructure, you can offer your learners a seamless user experience and provide them with a market leading virtual classroom environment.",https://developer.citrixonline.com/terms-use,Developer Support,https://developer.citrixonline.com,developer-support@citrixonline.com,,,,https://developer.citrixonline.com/sites/all/themes/citrix_responsive/logo.png,,,,,,https://developer.citrixonline.com/
citrixonline.com:gotowebinar,GoToWebinar REST API,"The Citrix GoToWebinar API provides seamless integration of webinar registrant and attendee data into your existing infrastructure or third-party applications. The ability to register participants, as well as pull lists of registrants and attendees for a webinar, allows organizers to manage the flow of information between their primary applications without manual intervention.",https://developer.citrixonline.com/terms-use,Developer Support,https://developer.citrixonline.com,developer-support@citrixonline.com,,,,https://developer.citrixonline.com/sites/all/themes/citrix_responsive/logo.png,,,,,,https://developer.citrixonline.com/
